top 10 cumulative:
Fri Feb 10 20:10:45 2012    asymm_interface_0.profile
     2611    4.522    0.002    4.522    0.002 {pyccn._pyccn.nc_verify_command}
     2611    0.076    0.000    0.076    0.000 {pyccn._pyccn.new_charbuf}
     2611    4.631    0.002    4.720    0.002 {pyccn._pyccn.put}
        1    7.378    7.378  131.520  131.520 {pyccn._pyccn.run}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.set_interest_filter}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.set_run_timeout}
        1    0.000    0.000    0.000    0.000 {range}
       32    0.000    0.000    0.000    0.000 {setattr}
     5228    0.093    0.000    0.093    0.000 {sys._getframe}
        5    0.000    0.000    0.000    0.000 {thread.allocate_lock}
    20920    0.136    0.000    0.136    0.000 {thread.get_ident}
    18289    0.182    0.000    0.182    0.000 {time.time}


overall by name:
Fri Feb 10 20:10:45 2012    asymm_interface_0.profile

         988481 function calls (836996 primitive calls) in 131.910 seconds

   Ordered by: function name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
     7840    0.192    0.000    0.192    0.000 {_struct.pack}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
     5228    1.688    0.000    1.688    0.000 {cPickle.dumps}
      256    0.002    0.000    0.002    0.000 {chr}
        1    0.001    0.001    0.001    0.001 {dir}
        1    0.000    0.000    0.000    0.000 {function seed at 0x4080c130}
     5271    0.059    0.000    0.059    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
    15688    0.235    0.000    0.235    0.000 {hasattr}
     7856    0.117    0.000    0.117    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 {issubclass}
